Grapheme	IPA
$	NULL
'a	a
'i	i
'iɛ	i/j ɛ
'i̠	i̠
'o	o
'o̠	o̠
'ɑ̠	ɑ̠
'ə	ə
'ɤ̠	ɤ̠
'ɯ	ɯ
10	<?>
21$	²¹
3³¹	NULL
42$	⁴²
4⁵⁵	ɾ
E	ᴇ/e̞
W	<?>
[	NULL
]	NULL
^	NULL
^_	NULL
^a	a
^a$	a
^ae	ae
^ai	ai
^ai̠	ai̠
^ao	ao
^aɔ̃	aɔ̃
^aʌ	aʌ
^a̠	a̠
^a̤	a̤
^a̱	a̠
^a̲	a
^b	b
^c	c
^cʰ	cʰ
^cʲ	cʲ
^d	d
^dʐ	ɖʐ
^dʑ	dʑ
^dʒ	dʒ
^e	e
^ei	ei
^e̱	e̠
^f	f
^g	g
^gw	g w
^h	h
^hw	ʰw
^hʷ	hʷ
^h̃	h̃
^i	i
^ia	i/j a
^i²¹mo²¹	i ²¹ + m o ²¹
^i³³ʈho³³	i ³³ + ʈʰ o ³³
^iɛ	i/j ɛ
^iɛ̠	i/j ɛ̠
^iɛ̠̃	i/j ɛ̠̃
^i̞	i̞/i
^i̠	i̠
^i̠ɛ	i̠/j ɛ
^i̠̠	i̠
^i̤	i̤
^i̱	i̠
^j	j
^k	k
^kh	kʰ
^kw	kʷ
^kʰ	kʰ
^kʰw	kʰ w
^kʰʷ	kʷʰ
^kʷ	kʷ
^kʻ	kʼ
^kᶠʰ	kᶠʰ/kʰ
^l	l
^lw	l w
^lʲ	lʲ
^l̥	l̥
^l̩	l̩
^m	m
^m̠	m̩
^m̠̩	m̠̩
^m̥	m̥
^m̩	m̩
^m̩̩	m̩
^n	n
^n̥	n̥
^n̩	n̩
^n̩̩	n̩
^o	o
^oa	oa
^ou	ou
^o̠	o̠
^o̠u	o̠u
^o̱	o̠
^p	p
^ph	pʰ
^pɯ⁵⁵H4__2Z	p ɯ ⁵⁵
^pʰ	pʰ
^pʰᶠ	pᶠʰ
^pᶠ	pf
^pᶠʰ	pfʰ
^q	q
^qh	qʰ
^qʰ	qʰ
^rʰ	rʰ
^s	s
^sw	s w
^sɨ⁴̠_⁵	s ɨ ⁴⁵
^sʰ	sʰ
^sʷ	sʷ
^t	t
^th	tʰ
^ts	ts
^tsh	tsʰ
^tsw	ts w
^tsʰ	tsʰ
^tsʰɿ⁵⁵̟	tsʰ ɿ ⁵⁵
^tsʰʷ	tsʷʰ
^tsʻ	tsʼ
^tw	t w
^tǫ³³	t o ³³
^tɕ	tɕ
^tɕh	tɕʰ
^tɕhʰ	tɕʰ
^tɕǫ³³	tɕ o ³³
^tɕʰ	tɕʰ
^tɕʻ	tɕʼ
^tʂ	ʈʂ
^tʂh	ʈʂʰ
^tʂʰ	ʈʂʰ
^tʂʻ	ʈʂʼ
^tʃ	tʃ
^tʃh	tʃʰ
^tʃʰ	tʃʰ
^tʃ̠ʰ	tʃ̠ʰ
^tʰ	tʰ
^tʰw	tʰ w
^tʰʲ	tʲʰ
^tʰʷ	tʷʰ
^tʰˣ	tˠʰ
^tʻ	tʼ
^u	u
^ua	u/w a
^uɑ	u/w ɑ
^uɑ̃	u/w ɑ̃
^uɔ	uɔ
^u̠	u̠
^u̱	u̠
^v	v
^v˞	ʮ˞
^v̠	v̠/v
^v̩	v̩
^v̩˞	v̩˞
^w	w
^x	x
^xʲ	xʲ
^xʲe̠~³³	xʲ e ³³
^y	y
^yɛ	y/ɥ ɛ
^y̠	y̠
^z	z
^z̩	z̩
^ã	ã
^æ	æ
^æ˞	æ˞
^æ̠	æ̠
^æ̠̃	æ̠̃
^ç	ç
^õ	õ
^õ̠	õ̠
^ø	ø
^ø̠	ø̠
^ĩ	ĩ
^ĩɛ̃	ĩ/j ɛ̃
^ĩ̠	ĩ̠
^ŋ	ŋ
^ŋw	ŋ w
^ŋʷ	ŋʷ
^ŋ̣	ŋ̍
^ŋ̩	ŋ̍
^ŋ̩̩	ŋ̩
^ŋ̩⁵⁵ka³³	ŋ̍ ⁵⁵ + k a ³³
^ŋ̪	ŋ̪
^œ	œ
^ũ	ũ
^ȵ	ȵ
^ȵʲ	ȵʲ
^ȵ̩	ȵ̩
^ɐ	ɐ
^ɐ̃	ɐ̃
^ɑ	ɑ
^ɑi	ɑi
^ɑi̠	ɑi̠
^ɑ̃	ɑ̃
^ɑ̠	ɑ̠
^ɑ̤	ɑ̤
^ɒ	ɒ
^ɔ	ɔ
^ɔ̃	ɔ̃
^ɔ̠	ɔ̠
^ɕ	ɕ
^ɕw	ɕ w
^ɕʰ	ɕʰ
^ɖ	ɖ
^ə	ə
^ə˞	ə˞
^ə̃	ə̃
^ə̠	ə̠
^ə̱	ə̠
^ɚ	ə˞
^ɚ̱	ə̠˞
^ɛ	ɛ
^ɛi	ɛi
^ɛ˞	ɛ˞
^ɛ˞̃	ɛ̃˞
^ɛ̃	ɛ̃
^ɛ̠	ɛ̠
^ɛ̱	ɛ̠
^ɜ	ɜ
^ɞ	ɞ
^ɡ	g
^ɣ	ɣ
^ɣw	ɣ w
^ɣɣ	ɣ ɤ
^ɣɣ̠³³	ɣ ɤ ³³
^ɣʷ	ɣʷ
^ɤ	ɤ
^ɤo	ɤo
^ɤɯ	ɤɯ
^ɤ˞	ɤ˞
^ɤ˞̃³⁵	ɤ̃˞ ³⁵ +
^ɤ̃	ɤ̃
^ɤ̠	ɤ̠
^ɤ̪	ɤ̪
^ɤ̪˞	ɤ̪˞
^ɤ̪˞̃	ɤ̪˞̃
^ɤ̪̃	ɤ̪̃
^ɤ̪̪̃	ɤ̪̪̃
^ɤ̱	ɤ̠
^ɦ	ɦ
^ɨ	ɨ
^ɨ̃	ɨ̃
^ɨ̠	ɨ̠
^ɨ̪	ɨ̪
^ɪ	ɪ
^ɪ̱	ɪ̠
^ɬ	ɬ
^ɬḻ³³	ɬ l̩ ³³
^ɭ	ɭ
^ɯ	ɯ
^ɯ̃	ɯ̃
^ɯ̠	ɯ̠
^ɯ̱	ɯ̠
^ɱ	ɱ
^ɲ	ɲ
^ɲ̥	ɲ̊
^ɳ	ɳ
^ɸ	ɸ
^ɿ	ɿ
^ʁ	ʁ
^ʂ	ʂ
^ʂʰ	ʂʰ
^ʂʻ	ʂʼ
^ʃ	ʃ
^ʈ	ʈ
^ʈh	ʈʰ
^ʈʰ	ʈʰ
^ʊ	ʊ
^ʐ	ʐ
^ʑ	ʑ
^ʒ	ʒ
^ʔ	ʔ
^ʔw	ʔ w
^ʔʐ	ˀʐ
^ʝ	ʝ
^ʣ	dz
^ʣʴ	dz ʁ
^ʥ	dʑ
^ʦ	ts
^ʦh	tsʰ
^ʦʰ	tsʰ
^ʨ	tɕ
^ʨh	tɕʰ
