ID	Number	Name	NameInData	Glottocode	Source	Latitude	Longitude	Location
HaniLongwei	86	Hani-Longwei	Hani-Longwei	hani1248	Changfieldnotes	23.28989	102.258828	Yunnan Honghe Honghe
HaniQiepu	85	Hani-Qiepu	Hani-Qiepu	hani1248	Qu2020	23.17492035	102.323801	Yunnan Honghe Honghe
HaniLuchun	84	Hani- Lvchun	Hani-Luchun	hani1248	Sun1991	22.9971543	102.4112667	Yunnan Honghe Luchun
Haoni	87	Haoni	Haoni	honi1244	Sun1991	23.44336047	101.7461037	Yunnan Pu'er Mojiang
LahuNa		Black Lahu	Lahu Na	naaa1244	Sun1991	22.21900429	99.70134153	Yunnan Pu'er Lancang 
Ghomozo	23	Ghomozo	Ghomozo		Yangfieldnotes2008	26.07588114	99.91832807	Yunnan Dali Eryuan
Kuansi	21	Kuansi	Kuansi	kuan1249	Castroetal2010	26.33305556	100.25	Yunnan Dali Heqing
Lavu	22	Lavu	Lavu	talu1238	Chen2010	26.67867748	100.7497253	Yunnan Lijiang Yongsheng
Talu		Taliu	Talu	talu1238	Chen2010	26.55219217	100.8467043	Yunnan Lijiang Yongsheng
Xuzhang	7	Xuzhang	Xuzhang	xuzh1234	Yang2015	25.3277808	98.9970677185	Yunnan Baoshan Longyang
WShanglizhuo	18	W-Shanglizhuo	W-Shanglizhuo	west1506	Yang2015	25.5235701	98.9783729985	Yunnan Baoshan Longyang
Yangliu	8	Yangliu	Yangliu	yang1304	Yang2015	25.1877608	98.9957997747	Yunnan Baoshan Longyang
CLeba	13	C-Leba	C-Leba	xish1235	Yang2015	25.0689002	99.7199450062	Yunnan Dali Yongping
CEYongan	10	CE-Yong'an	CE-Yong'an	dong1286	Yang2015	25.470251	100.2688649899	Yunnan Dali Weishan
EDiaocao	1	E-Diaocao	E-Diaocao		Yang2015	25.538453	100.255308	Yunnan Dali Dali
EHoushan	16	E-Houshan	E-Houshan		Yang2015	25.3751828	100.4392542886	Yunnan Dali Dali
ETaoshu	17	E-Taoshu	E-Taoshu		Yang2015	25.568387	100.0581570205	Yunnan Dali Dali
Eka	6	Eka	Eka	ekaa1234	Yang2015	23.4771337	99.9422299604	Yunnan Lincang Shuangjiang
SMangdi	19	S-Mangdi	S-Mangdi	sout3210	Yang2015	23.46902517	99.3155123394	Yunnan Lincang Gengma
CQingsheng	15	C-Qingsheng	C-Qingsheng	xish1235	Yang2015	24.76262417	100.6381824686	Yunnan Pu'er Jingdong
SEGaoping	9	SE-Gaoping	SE- Gaoping		Yang2015	25.28618833	100.4230602638	Yunnan Dali Midu
CChajiang	14	C-Chajiang	C-Chajiang	xish1235	Yang2015	24.72213	100.1408171056	Yunnan Dali Nanjian
CQingyun	5	C-Qingyun	C-Qingyun	xish1235	Yang2015	25.28985136	100.04557626	Yunnan Dali Weishan
CLongjie	11	C-Longjie	C-Longjie	xish1235	Yang2015	25.2061973	100.0334557739	Yunnan Dali Weishan
WYilu	2	W-Yilu	W- Yilu	west1506	Yang2015	25.2908485	99.6396402988	Yunnan Dali Yongping
WShuizhuping	3	W-Shuizhuping	W-Shuizhuping	west1506	Yang2015	25.384463	99.843653328	Yunnan Dali Yangbi
WDutian	4	W-Dutian	W-Dutian	west1506	Yang2015	25.5134482	99.8301212214	Yunnan Dali Yangbi
CWachang	12	C-Wachang	C-Wachang	xish1235	Yang2015	25.41664	99.9661329659	Yunnan Dali Yangbi
Lisu	29	Lisu	Lisu	nort3298	Sun1991	26.75196842	98.88478072	Yunnan Nujiang Fugong
LuquanLisu		Luquan Lisu	Luquan Lisu	lipo1242	MuSun2012	26.0231313	102.52303209	Yunnan Chuxiong Luquan
TengchongLisu		Tengchong Lisu	Tengchong Lisu	hual1240	MuSun2012	25.0380779	98.48637722	Yunnan Baoshan Tengchong
WeixiLisu		Weixi Lisu	Weixi Lisu	nort3298	MuSun2012	27.1570718	99.2852265	Yunnan Diqing Weixi
YongshengLisu		Yongsheng Lisu	Yongsheng Lisu	hual1240	MuSun2012	26.6783555	100.74747785	Yunnan Lijiang Yongsheng
CLolo	26	C Lolo	C-Lolo	nanh1240	YangFlaming2012fieldnotes	25.22012656	100.9674095	Yunnan Chuxiong Nanhua
ELolo	27	E Lolo	E-Lolo	shua1253	YangFlaming2012fieldnotes	24.70512501	101.92075	Yunnan Chuxiong Shuangbai
JingguLimi	25	Jinggu Limi	Jinggu Limi	limi1243	Zhao2019	23.41161589	100.3939263	Yunnan Pu'er Jinggu
Limi	24	Limi	Limi	limi1243	Yang2017	24.2046473	99.70780531	Yunnan Lincang Yongde
Lipo	28	Lipo	Lipo	lipo1242	YangFlaming2012fieldnotes	25.967744	101.469582	Yunnan Chuxiong Yongren
Maang	92	Maang	Maang	maan1239	YYFC1983	23.51355699	106.0052758	Yunnan Wenshan Funing
Mondzi	93	Mondzi	Mondzi	mond1267	YYFC1983	23.39918383	105.2343413	Yunnan Wenshan Malipo
Mongi		Mongi	Mongi	mond1267	Chen2010	23.39918383	105.2343413	Yunnan Wenshan Malipo
Alo	41	Alo	Alo	aluo1235	Chen2010	25.937203	102.1064952	Yunnan Chuxiong Wuding
KopoGepo	49	Kopo (Gepo)	Kopo (Gepo)	gepo1234	Chen2010	25.51563431	102.4630191	Yunnan Kunming Luquan
Naso	43	Naso	Naso	wume1235	Chen2010	26.89835528	102.9271427	Yunnan Zhaotong Qiaojia
Nasu	40	Nasu	Nasu	luqu1238	Chen2010	25.52497193	102.4030928	Yunnan Kunming Wuding
LuowuNisu	45	Luowu Nisu	Luowu Nisu	luqu1238	Sheninprogress	24.55990379	101.7955965	Yunnan Chuxiong Shuangbai
Nipu	47	Nipu	Nipu	wusa1235	Chen2010	27.00771251	106.033544	Guizhou Bijie Qianxi
Nersu	46	Nersu	Nersu	wein1239	Chen2010	27.141233	104.020331	Guizhou Bijie Weining
Nise	42	Nise	Nise		Chen2010	24.68802092	103.6001565	Yunnan Kunming Shilin
LaowuNisu	44	Laowu Nisu	Laowu Nisu	farn1234	YangWenjing2018	25.74329166	99.57814539	Yunnan Dali Yunlong
Noso	48	Noso	Noso		Chen2010	25.71000184	104.4715351	Guizhou Anshun Panxian
Narsu	59	Narsu (NW Nisu)	Narsu	esha1238	Chen2010	24.25746171	102.0476517	Yunnan Yuxi Eshan
Neshu		Neshu	Neshu	xinp1238	Chen2010	24.13820926	101.6461907	Yunnan Yuxi Xinping
Nesu		Nesu	Nesu	xinp1238	Chen2010	22.623138	101.90012074	Yunnan Pu'er Jiangcheng
LopeAwuChen2010	61	Lope (Awu)	Lope (Awu) (Chen 2010)		Chen2010	24.25668563	103.6428899	Yunnan Honghe Mile
LopeAwuYYFC1983	62	Lope (Awu)2	Lope (Awu) (YYFC 1983)		YYFC1983	24.25668563	103.6428899	Yunnan Honghe Mile
NNisu	57	N Nisu	N. Nisu	xinp1238	Yang2009	24.13820926	101.6461907	Yunnan Yuxi Xinping
SNisu	58	S Nisu	S. Nisu	sout2723	Yang2009	23.32715901	102.326438	Yunnan Honghe Honghe
Lidim	38	Lidim (Tianba)	Lidim		Chen2010	28.96606783	102.7717472	Sichuan Liangshan Ganluo
NuosuHuangDai1992		Nuosu (Huang and Dai)	Nuosu (Huang & Dai 1992)	yish1238	HuangDai1992	28.30672651	102.4125175	Sichuan Liangshan Xide
NosuXide	36	Nosu (Senza)	Nosu (Xide)	yish1238	YYFC1983	28.30672651	102.4125175	Sichuan Liangshan Xide
Sodi	39	Sodi	Sodi	huil1243	Chen2010	26.65502606	102.2446829	Sichuan Liangshan Huili
Senza		Senza	Senza	yish1238	Chen2010	28.30672651	102.4125175	Sichuan Liangshan Xide
Yino	37	Yino	Yino	yinu1238	Chen2010	28.32864	103.1321792	Sichuan Liangshan Meigu
Axi	52	Axi	Axi	axiy1235	YYFC1983	24.441446	103.268645	Yunnan Honghe Mile
Azhe	53	Azhe	Azhe	azhe1235	YYFC1983	24.32964102	103.119097	Yunnan Honghe Mile
Sani	51	Sani	Sani	sani1269	Chen2010	24.77179693	103.290785	Yunnan Kunming Shilin
AzhaazaPelkey2011	54	Azha	Azha [aza] Pelkey 2011	azha1235	Pelkey2011	23.54166649	104.1861823	Yunnan Wenshan Wenshan
SanniSanie	50	Sanni (Sanie)	Sanni (Sanie)	sani1265	Chen2010	25.04887917	102.6362707	Yunnan Kunming Xishan
Pholaypg	78	Up: Phola	Phola [ypg]	phol1237	Pelkey2011	23.456381	102.286862	Yunnan Yuanjiang, Wadie, Luodie Yuanjiang
