ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Location,Source,SubGroup,NameInData,Number
HaniLongwei,Hani-Longwei,hani1248,Hani,hni,Eurasia,23.28989,102.258828,Sino-Tibetan,Yunnan Honghe Honghe,Changfieldnotes,Yi,Hani-Longwei,86
HaniQiepu,Hani-Qiepu,hani1248,Hani,hni,Eurasia,23.17492035,102.323801,Sino-Tibetan,Yunnan Honghe Honghe,Qu2020,Yi,Hani-Qiepu,85
HaniLuchun,Hani- Lvchun,hani1248,Hani,hni,Eurasia,22.9971543,102.4112667,Sino-Tibetan,Yunnan Honghe Luchun,Sun1991,Yi,Hani-Luchun,84
Haoni,Haoni,honi1244,Honi,how,Eurasia,23.44336047,101.7461037,Sino-Tibetan,Yunnan Pu'er Mojiang,Sun1991,Yi,Haoni,87
LahuNa,Black Lahu,naaa1244,Na (Lahu),,Eurasia,22.21900429,99.70134153,Sino-Tibetan,Yunnan Pu'er Lancang ,Sun1991,Yi,Lahu Na,
Ghomozo,Ghomozo,,,,,26.07588114,99.91832807,Sino-Tibetan,Yunnan Dali Eryuan,Yangfieldnotes2008,Yi,Ghomozo,23
Kuansi,Kuansi,kuan1249,Kua-nsi,ykn,Eurasia,26.33305556,100.25,Sino-Tibetan,Yunnan Dali Heqing,Castroetal2010,Yi,Kuansi,21
Lavu,Lavu,talu1238,Lavu-Yongsheng-Talu,yta,Eurasia,26.67867748,100.7497253,Sino-Tibetan,Yunnan Lijiang Yongsheng,Chen2010,Yi,Lavu,22
Talu,Taliu,talu1238,Lavu-Yongsheng-Talu,yta,Eurasia,26.55219217,100.8467043,Sino-Tibetan,Yunnan Lijiang Yongsheng,Chen2010,Yi,Talu,
Xuzhang,Xuzhang,xuzh1234,Xuzhang Lalo,,Eurasia,25.3277808,98.9970677185,Sino-Tibetan,Yunnan Baoshan Longyang,Yang2015,Yi,Xuzhang,7
WShanglizhuo,W-Shanglizhuo,west1506,Western Lalu,ywl,Eurasia,25.5235701,98.9783729985,Sino-Tibetan,Yunnan Baoshan Longyang,Yang2015,Yi,W-Shanglizhuo,18
Yangliu,Yangliu,yang1304,Yangliu,,Eurasia,25.1877608,98.9957997747,Sino-Tibetan,Yunnan Baoshan Longyang,Yang2015,Yi,Yangliu,8
CLeba,C-Leba,xish1235,Xishanba Lalo,ywt,Eurasia,25.0689002,99.7199450062,Sino-Tibetan,Yunnan Dali Yongping,Yang2015,Yi,C-Leba,13
CEYongan,CE-Yong'an,dong1286,Dongshanba Lalo,yik,Eurasia,25.470251,100.2688649899,Sino-Tibetan,Yunnan Dali Weishan,Yang2015,Yi,CE-Yong'an,10
EDiaocao,E-Diaocao,,,,,25.538453,100.255308,Sino-Tibetan,Yunnan Dali Dali,Yang2015,Yi,E-Diaocao,1
EHoushan,E-Houshan,,,,,25.3751828,100.4392542886,Sino-Tibetan,Yunnan Dali Dali,Yang2015,Yi,E-Houshan,16
ETaoshu,E-Taoshu,,,,,25.568387,100.0581570205,Sino-Tibetan,Yunnan Dali Dali,Yang2015,Yi,E-Taoshu,17
Eka,Eka,ekaa1234,Eka,,Eurasia,23.4771337,99.9422299604,Sino-Tibetan,Yunnan Lincang Shuangjiang,Yang2015,Yi,Eka,6
SMangdi,S-Mangdi,sout3210,Southern Lalo,,Eurasia,23.46902517,99.3155123394,Sino-Tibetan,Yunnan Lincang Gengma,Yang2015,Yi,S-Mangdi,19
CQingsheng,C-Qingsheng,xish1235,Xishanba Lalo,ywt,Eurasia,24.76262417,100.6381824686,Sino-Tibetan,Yunnan Pu'er Jingdong,Yang2015,Yi,C-Qingsheng,15
SEGaoping,SE-Gaoping,,,,,25.28618833,100.4230602638,Sino-Tibetan,Yunnan Dali Midu,Yang2015,Yi,SE- Gaoping,9
CChajiang,C-Chajiang,xish1235,Xishanba Lalo,ywt,Eurasia,24.72213,100.1408171056,Sino-Tibetan,Yunnan Dali Nanjian,Yang2015,Yi,C-Chajiang,14
CQingyun,C-Qingyun,xish1235,Xishanba Lalo,ywt,Eurasia,25.28985136,100.04557626,Sino-Tibetan,Yunnan Dali Weishan,Yang2015,Yi,C-Qingyun,5
