English	Chinese	Yang 2015 #	Proto-Ngwi	Bradley 1979 #	*Proto-Ni (Lama 2012)	*Proto-Lolo-Burmese (Matisoff)	*Burmese-Ngwi (Li Yongsui 2010)	PTB (Matisoff 2002)	ProtoLalo (Yang 2015)	PN Tone	PN Initial order	PN Initial type	Hani-Longwei	Hani-Qiepu	Hani-Luchun 	Haoni	Lahu Na	Ghomozo	Kuansi 	Lavu	Talu	Xuzhang	W-Shanglizhuo	Yangliu	C-Leba	CE-Yong'an	E-Diaocao	E-Houshan	E-Taoshu	Eka	S-Mangdi	C-Qingsheng	SE- Gaoping	C-Chajiang	C-Qingyun	C-Longjie	W- Yilu	W-Shuizhuping	W-Dutian	C-Wachang	Lisu	Luquan Lisu	Tengchong Lisu	Weixi Lisu	Yongsheng Lisu	C-Lolo	E-Lolo	Jinggu Limi	Limi	Lipo	Maang	Mondzi	Mongi	Alo	Kopo (Gepo)	Naso	Nasu	Luowu Nisu	Nipu	Nersu	Nise	Laowu Nisu	Noso	Narsu	Neshu	Nesu	Lope (Awu) (Chen 2010)	Lope (Awu) (YYFC 1983)	N. Nisu	S. Nisu	Lidim	Nuosu (Huang & Dai 1992)	Nosu (Xide)	Sodi	Senza	Yino	Axi	Azhe	Sani	Azha [aza] Pelkey 2011	Sanni (Sanie)	Phola [ypg]	Phuza [ypz]	Southern Muji [ymc]	Hlepho Phowa [yhl]	Kazhuo	Lawu-Xinping Shuitang Jiuha	Toloza
thorn	刺儿	215	*cu² & *g(y)oŋ³	307	*kru¹				dzy²	2	9	*p	a³¹gã³¹	a²²kɔ³³	a⁵⁵ɡɔ³³	ɔ⁵⁵ku³³	tshu³³	tsʰə˞²¹	tsʰɿ²¹ pfɨ̪⁵⁵	tʂʰu̪⁵⁵	dʑu²¹	a⁴⁵dzy²¹	a⁵⁵dʑy²¹	dzə²¹	ɑ⁵⁵dʑy²¹	a⁵⁵dʑy²¹	dzə²¹	a⁵⁵dʒɨ²¹	a⁵⁵dʑy²¹	a²⁴dʑi²¹	a⁵⁵dʒə²¹	ɑ⁵⁵dʑy²¹	a⁴⁴dʑy²¹	ɑ⁵⁵dʑy²¹	a⁵⁵dzy²¹	a⁵⁵dʑy²¹	ɐ⁵⁵dʑi²¹	a⁵⁵dʑy²¹	a⁵⁵dʑy²¹	ɑ⁵⁵dʑy²¹	e⁵⁵tʃhu³¹								a³³dʑi²¹		ʨhuə³⁵	ŋɑŋ⁴⁴	dzo²¹	dzɯ⁵⁵	dzɯ²¹	dzɯ⁵⁵	dzɯ⁵⁵		dzɯ⁵⁵	dzɤ⁵⁵	dzɯ⁵⁵		dzɯ⁵⁵	dzɯ²¹	dzɯ²¹	dzɯ²¹	dzɯ²¹	ʣei̠²¹bei̠²¹			tʂʰu³³	tʂhu³³	tʂhu³³	tʂʰu³³	tʂʰu³³	tʂʰu²²	ʣi²¹	a⁵⁵ʣi²¹	dzi²¹		dzu²¹					tsɿ³¹	na³³ta²¹	tʂʰu⁵⁵
moss	苔(青苔)	216						water - something- tail?	ɣi¹me²				ɯ⁵⁵ɕu³¹					i⁵⁵pu̠³¹me²¹					sɿ⁴⁴me²¹		ɣɨ⁵⁵mi²¹	ə⁵⁵pɑ²¹lɛ²¹pa²¹		ɣɨ²⁴mi³³ɣɨ²⁴tsa³³		na²⁴mĩ²¹		ɣɨ⁵⁵mi²¹	ɣɨ⁴⁴mi²¹	ɣɨ⁵⁵mi²¹		ɣɨ⁵⁵mi²¹	ɣɨ²⁴mɛ²¹											mu²¹lu³³pɛ²¹/mu²¹luŋ³³pɛ²¹	ji²⁴mɛ²¹									ȵe̠²me³³																						vi³³tɔ²²		ʑi³³lɛ³¹ȵu̠⁵⁵	nɯ¹³ʥi³¹bi³¹ljɛ³¹	lɯ²¹vi³³	sə³³tɬʰɿ⁵⁵			
fern	蕨草	217	*m-da¹ C-kra¹	300					da¹vaŋ²	1	2	*mb	xa³¹da⁵⁵ 2nd syllable sandhi	ɯ⁴⁴tɕi⁵³				tɔ²⁴wu²¹		du⁵⁵	du⁵⁵			da³³gɨ³³	dɑ⁵⁵vɑ²¹	da²⁴wu²¹	dɔ²⁴ɣə²¹, dɔ²⁴wu²¹	da²⁴va²¹		do²⁴va²¹	da⁵⁵wo²¹	dou⁵², dɑ⁵⁵wu²¹	du⁴⁴	dɑ⁵⁵vɑ²¹	da⁵⁵	da⁵⁵va²¹	dɐ²⁴vɐ²¹, dɐ²⁴vv̩²¹	da²⁴vv̩²¹	do²⁴	dɑ⁵⁵vɑ²¹								tɔ³³ɣɯ⁵⁵	do²⁴wo²¹				ndɔ¹³	ntʰu²¹	do³³	ndo²¹	ndʰo²¹		ndo²¹	ndo²¹	du²¹		ndo²¹	do²¹	do²¹	do²¹	du²¹		do²¹pi̠ɛ̠²¹		da³³			nda³³	nda³³	nda²²			tɑ³³	a³³pi̠⁴⁵	da³³	ⁿtɔ³³pɛ̠²³	a⁵⁵da³³bi³³	a³³ta²¹(-ma²¹)	a³³ⁿda²¹		ta⁵⁵ku²¹	dɑ³³
yeast	酵母	218	*m-di²	291					dy²	2	2	*mb										dy²¹pa³³	dy²¹	də²¹	dy²¹	dy²¹za²¹	də²¹	dɨ²¹	dy²¹	dɨ²¹	də²¹	dy²¹	dy²¹	dy²¹	dy²¹	dy²¹	dy²¹	dy²¹	dy²¹	dy²¹								ti̠²¹	di²¹																															ty³³ɬɞ²¹		ⁿti³¹	dɛ¹³mɯ³³	ʨʰi⁵⁵ʦa³³	ⁿdə⁵⁵			
ashes	灰(草木灰)	219	*C-kapL C-la¹	331.1			*l̥huaA/*mhăpD	gap	kʰu²tsʰa¹	L	11	*C-p	xa³¹le⁵⁵	xa⁴⁴lɛ⁵³	xa³¹le⁵⁵	l̥ɛ⁵⁵v̠³¹l̥ɛ⁵⁵tshɔ⁵⁵	mə³³e³³	a²¹hɔ⁵⁵	kʰɨ̪̠²¹ pʰɯ³³	kʰu²¹pʰa⁵⁵	kʰu²¹pʰa⁵⁵	kʰo²¹tsʰo⁴⁵³	kʰɤ̪²¹tsʰa²⁴	kʰo²¹tsʰa³³	kʰv̩̤²¹tsʰɑ⁵⁵	kʰɨ²¹tsʰa⁵⁵	kʰɤ̪²¹tsʰɔ̪⁵⁵	kʰɤ̪˞²¹tsʰa⁵⁵	kʰɤ̪²¹tsʰɔ⁵⁵	ko²¹tsʰo²⁴	kʰu²¹	kʰv̩²¹tsʰɑ⁵⁵	kʰu̥²¹tsʰɿ⁴⁴	kʰv̩²¹tsʰɑ⁵⁵	kʰə̤²¹tsʰa⁵⁵	kʰv̩²¹tsʰa⁵⁵	kʰv̩²¹tsʰa⁴⁴	kʰv̩²¹tsʰa²⁴	kʰo²¹tsʰo²⁴	kʰv̩²¹tsʰɑ⁵⁵	kho³¹hɑ³³							kʊ²¹ɕi³³	kʰo²¹ɕi⁵⁵mi³³				kʰo²¹	kʰu⁵⁵	kʰo²¹ɬo³³	kʰu⁵⁵	kʰu⁵⁵		kʰu⁵⁵	kʰu⁵⁵	kʰu⁵⁵tɕʰi³³	kʰu¹³	kʰu⁵⁵	kʰu²¹mu²¹	kʰu²¹mu²¹	kʰu²¹mu²¹	kʰo²¹mo²¹				kʰu²¹ɬa³³	khu²¹ɬɑ³³		kʰu²¹	kʰu²¹ɬa³³	kʰu⁴²ɬa²²			kʰu²¹ɬɑ³³		kʰu²¹ʂo̱³³					khv³¹m³²³	kʰa³³li⁵⁵	kʰu⁵⁵ha³³tsʰɤ³³
body	身体	220			*na¹ʦhi¹		*duhB/*guŋA/*GhuiA		gu¹tsʰɿ²/³	1	1	*b	o³¹ɬm̩⁵⁵ 2nd syll	o³³mo⁴⁴	ɣo⁵⁵mo⁵⁵	ʒu³³ɣu⁵⁵	ɔ³¹to³³	tshɿ⁵⁵kɯ³¹tɕi⁵⁵	ɡɨ̪⁵⁵ dɯ̠²¹	gu²¹dzi⁵⁵	gu⁵⁵dzi⁵⁵	go²⁴tʂʰʅ²¹dy²¹	gɤ̪²⁴tʂʰɤ̪²¹	go³³tsʰɿ³³	gv̩⁵⁵tʂʰʅ̥²¹	gɨ²⁴tsʰɿ²¹; ka⁵⁵tsʰɿ²¹	gə²⁴tsʰɿ⁵⁵	gɨ²⁴tsʰɿ²¹	gɤ̪²⁴tsʰɿ²¹	ɛ²¹tu³³	gɨ⁵⁵tsʰɿ²¹	gu⁵⁵tsʰɿ²¹	gɨ⁴⁴tsʰɿ²¹	gu⁵⁵tsʰɿ²¹	gɨ⁵⁵tʂʰʅ̥²¹	gu⁵⁵tʂʰʅ²¹	gv̩²⁴tʂʰʅ²¹	gv̩²⁴tʂʰʅ²¹	gv̩˞²⁴tʂʰʅ²¹	gv̩⁵⁵tʂʰv̩²¹	ko⁴⁴de³¹					gɯ³³də²¹	gɯ³³dɯ²¹	kɯ³³lɤ⁵⁵	gɨ²⁴di²¹	gu⁵⁵tsʻɩ³¹	sai³³	se⁴⁴	go¹³	gɯ²¹pʰe³³	gɯ³³mo³³	gɯ²¹pʰɛ³³	gɯ²¹pʰe³³	ŋkʰɯ²¹pʰɯ²¹	gɯ²¹kɔ³³	kɤ²¹pʰɛ³³	gɯ²¹gɤ⁵⁵	ɡə²¹tsɿ³³	gɯ²¹bɔ²¹	gɯ²¹mo²¹	gɯ²¹mu²¹	gɯ²¹mo²¹	gɯ²¹dɯ²¹	khu̠²¹ʦhei³³	gɯ²¹	gɯ²¹mo²¹	ko²¹po³³	ko²¹po³³	bu⁵⁵ʦhɿ³³	ko²¹po³³	ko²¹po³³	ko⁴²po²²	no³³ʦhi²¹	gɛ²²ʦhi²¹	kɯ³³pɤ³³	ʨy²¹pɜ²¹	gu³³tɕʰi̱²¹	mɔ³³	ɡə³¹mɔ³³	mə³³χa⁵⁵	ʦʰə³³ʔmə³³	o³¹tso³³①;ŋa³²³tv³³②		gu²¹mo³³
head	头	221	*u² & *ʔ-du² & *ʔ-koŋ²	88	*ʔu¹	ʔu²	*duhB/*GhoŋhB/*ʔhuhB		nu²dy¹	2	21	vowel initial	v̩⁵⁵tv̩³¹	v̩⁴⁴tv̩³¹	u³¹du³¹	v̩³¹tv̩³¹	o³⁵qo¹¹	ɣɯ²²tɕi³⁵kʰɔ³³	ʔn̩²¹ ka⁵⁵	ŋ̩²¹gɑ²¹	ŋ̩²¹gɑ²¹	ŋ̩²¹ka²¹	n̩²¹dy²⁴, ny²¹dy²⁴	n̩²¹də³³	n̩²¹dy⁵⁵	ɣɨ²¹ti⁵⁵	n̩̩²¹də²⁴kə³³	ɨ²¹dɨ²⁴	ŋ̩²¹ka²¹	n̩²¹dɨ²⁴ka³³ɕɛ²¹	n̩²¹də⁵⁵	u²¹dy⁵⁵ɕɛ²¹	u⁵⁵dy⁴⁴	u²¹dy⁵⁵	n̩²¹dy⁵⁵	n̩²¹dy⁵⁵	m̩²¹dy²⁴,n̩²¹dy²⁴	n̩²¹dy²⁴	m̩²¹ka²¹	n̩²¹dy⁵⁵	o⁵⁵du³³	o⁵⁵di³³	wu⁵⁵dũ³³	o⁵⁵dũ³³	vũ⁵⁵du³³			ʔɯ⁵⁵ti³³sa⁵⁵	u⁵⁵di²⁴sa²¹		ʔo³⁵	mɔ⁵⁵bu⁵³	mɔ⁵⁵bu⁵³	u³³kɤ̱²¹	o⁵⁵ko̱³³	ɣo³³dɯ³³	o³³kɤ̱²¹	ɯ³³tɯ³³	o³³gu⁵⁵	ŋu³³ngo⁵⁵	ɪ³³go²¹	ɣə³³diou³³	ɔ³³mɔ³³	ŋu³³kɤ̱³³	ŋu³³kɤ̱³³	ŋu³³kɤ̱³³	i³³go²¹	ʑɪ²¹go̱²¹	ʔu̠³³	ʔu³³tɤ³³	i³³tɕʰɪ³³	o³³/i³³tɕhi³³	o³³ʨhi³³	i³³tɕʰɪ³³	i³³tɕʰɪ³³	i²²tɕʰɪ²²	o⁵⁵ko̱³³	ɪ⁵⁵kɯ̱³³	o⁵⁵qo²¹	i⁴⁴kɯ²²kɯ²²	ɚ²¹dɯ³³	tɯ³¹qɛ³³	vɯ³³dɛ³³	ɪ³³bə²¹	i⁵⁵də³³	ji³¹tsɿ³³		dʐi²¹
brains	脑髓	222	*(C)-nokL	140		s-nukH	*n̥hŏkD	s-nukL	ʔnu̠ᶫ	L	4	*C-m	v̩⁵⁵no³¹	v̩⁴⁴nɔ³¹		v̩³¹nɤ³¹		nɔ̠²¹və²⁴	ʔɨ̪²¹ ni²¹	u²¹no̱²¹	u²¹no̱²¹	no³³hõ³³	nu⁵³	no⁴⁵³	no̠²¹	no̠̠²¹	nu⁴²	nɔ̠²¹	nu̠²¹	ɛ³³nu̠²¹	xo²¹pu⁵⁵nu²¹ɣɨ⁵⁵, pu⁵⁵no²¹	no̠²¹	no̠̠²¹	no̠̠²¹	ʔnə̠²¹	ʔno̠²¹	no⁴⁵³	nu⁴⁵³	nu⁴⁵	nv̩̠²¹						u⁵⁵nu̠²¹	o⁵⁵nu̠²¹	ʔo⁵⁵no²¹	no̠²¹	vu⁵⁵tɕi⁵⁵pu³³na²¹			mɔ⁵⁵nu⁵³	u³³nu̱⁵⁵	o⁵⁵nu̱²¹	ɣɯ³³nu̱⁵⁵	u³³no̱⁵⁵	u³³nu̠⁵⁵	o³³nɔ¹³ʈu³³	ŋu³³ȵe¹³	ɯ³³nu̱²¹	nu¹³	o³³nu²	ŋu³³nu̱²¹	ŋu³³nu̱²¹	ŋu³³nu̱²¹	ɯ³³nu̱⁵⁵			ʔu³³nu̠²¹	o³³no̱⁵⁵	o³³no⁵⁵		o³³no̱⁵⁵	o³³no̱⁵⁵	o²²no̱²⁵			o⁵⁵no²	i⁴⁴ȵu²²	no̱⁵⁵ʐi³³	ɣu̠²³nɔ³³næ̠³¹	vɯ³³nɯ⁵⁵	ɪ³³nə²¹ɬi⁵⁵	ʔno⁵⁵	bao³¹soi³¹	ne̠³¹ku⁵⁵	pu⁵⁵no̱²¹
forehead	额头	223					*ŋ̊hahB		ʔnu̠ᶫkaŋ¹				ȵi³¹tɤ⁵⁵	v̩⁴⁴tɯ⁵³	ɲu³¹the⁵⁵	nɔ⁵⁵tɯ⁵⁵	nᴀ³¹qᴀ²¹pə³³	ŋa²¹te²¹tɕi⁵⁵		ŋ̩²¹gɑ²¹pʰa⁵⁵	ŋ̩²¹gɑ²¹pʰa⁵⁵	no⁴⁵³ko³³dzɿ²⁴	na⁵⁵qo⁵⁵	no⁴⁴kʰo⁵³	ny²¹kɛ⁵⁵tsɿ³³	no̠̠²¹ku⁵⁵	nu⁴²ka²¹kə⁵⁵	nɔ̠²¹ka⁵⁵tsɿ³³	na⁵⁵ka²¹tsɿ³³	na³³kʰa̠²¹tɕi²⁴	ŋ̩²¹ko⁵⁵tɕɛ⁵⁵	no̠²¹ko⁵⁵tsɿ³³	na̠̠²¹ka⁴⁴tɕi³³	no̠̠²¹tʰo̠³³	ʔnao²¹ko⁵⁵	ʔna²¹kua⁵⁵tsɿ³³	n̩²¹dy²⁴ɣo²¹	na⁵⁵ko⁵⁵	na⁴⁴ka⁴⁴tsɿ³³	nɑ²¹kv̩⁵⁵tsɿ³³	ŋɯ⁴¹tʃhi³³							mu²¹pʰu²¹tɕi³³	nu²¹ku⁵⁵dʑi²¹				do⁴⁴n̩⁴⁴do²¹	u³³ȵe̱⁵⁵	ni⁵⁵pʰu³³	na̱²¹bɯ²¹	o³³ȵe̱⁵⁵	na²¹pɤ²¹ka³³	na³³bo²¹	ŋu²¹tʰɤ²¹	nu²¹pu³³	na⁵⁵ɠw³³	na⁵⁴bɯ²¹	tɕi⁵⁵tsu³³	tsi⁵⁵tʂu³³bu³³	tɕi⁵⁵tsu³³bu²¹	ȵi⁵⁵pʰu³³		tsɿ⁵⁵tʂu³³		ȵɪ̱⁵⁵tʰi³³	ȵi⁵⁵thi³³		na³³ka⁵⁵	ȵɪ̱⁵⁵tʰi³³	ȵɪ̱²⁵tʰi²²			tɕɪ⁴⁴pʰu²¹	i⁴⁴pʰɞ²¹ȵi²²	nɯ⁵⁵kɯ⁵¹	nɑ³³qʰɛ̠²³	ȵi⁵⁵pə³³	ɛ²¹ȵi³³bə⁵⁵	n̩²¹pə⁵⁵	nao³¹mɛ³²³	na⁵⁵ku⁵⁵	o³³dzo³³kʰo̱⁵⁵
head hair	头发	224	*ʔ-tsam¹ kriŋ¹	89	*ʔu¹ʦham¹	ʦam¹	*tshamA		n̩²tsʰy¹	1	9	*p	tsã⁵⁵khɯ⁵⁵	tsʰɯ³³kʰɯ⁴⁴	tshe⁵⁵kho⁵⁵	tshɛ⁵⁵khu⁵⁵	o³⁵qo¹¹mu³³	v̩²²tsʰɯ⁵⁵	ʔn̩²¹ tsʰɯ⁵⁵	u²¹tsʰɯ⁵⁵	u²¹tsʰy⁵⁵	n̩²¹tsʰy⁴⁵³	n̩²¹tɕʰy²⁴	n̩²¹tsʰə³³	n̩²¹tɕʰy⁵⁵	ɣɨ²¹tɕʰi⁵⁵	n̩²¹tsʰə⁵⁵	ɨ²¹tʃʰɨ⁵⁵	n̩²¹tɕʰy⁵⁵	ŋ̩²¹tsʰə²⁴	n̩²¹də⁵⁵tsʰə⁵⁵	u²¹tɕʰy⁵⁵	u⁵⁵tɕʰy⁴⁴	u²¹tɕʰy⁵⁵	n̩²¹tsʰy⁵⁵	n̩²¹tɕʰy⁵⁵	n̩²¹tɕʰy⁴⁴	n̩²¹tɕʰy²⁴	m̩²¹tɕʰy²⁴	n̩²¹tɕʰy⁵⁵	o⁵⁵tshe⁴⁴					u⁵⁵tsʰə³³	o⁵⁵tsʰɿ³³	ʔɯ⁵⁵tɕʰe³³/tʃʰe³³	u⁵⁵tsʰe³³	vu⁵⁵tʂʻə³¹	ʔo²¹mi³⁵	mɔ⁵⁵sui¹³	mɔ⁵⁵sui¹³	u³³tsʰe³³	o⁵⁵tsʰi³³	ɣo³³tsʰe³³	o³³tsʰe³³	u³³tsʰe³³	o³³tsʰu³³	ŋu³³ngo⁵⁵mi²¹	ɪ³³tsʰi³³	ɣə³³tsʰei³³	kɔ³³pi⁵⁴	ŋu³³tɕʰe²¹	ŋu³³tɕʰɪ²¹	ŋu³³tɕʰe²¹	i³³tsʰe³³	ei⁴⁴ʦhei⁴⁴		ʔu³³tsʰe³³	o̱³³ȵɪ̱³³	ɔ³³ȵe³³	ɔ³³ȵe³³, ȵe³³	o̱³³ȵɪ̱³³	o̱³³ȵɪ̱³³	o̱²²ȵɪ̱²²	o⁵⁵ʦi³³	ɪ⁵⁵du²²	o⁵⁵tsʰɤ³³	i⁴⁴ʦʰɜ²¹	ɚ²¹tʂʰɯ³³	ʣɔ³³ʦʰɛ⁵⁵	vɯ³³ʨʰi³¹	ɛ⁵⁵ʦʰo³³	i⁵⁵tɬʰa⁵⁵	ji³¹tshɿ³³khɯ³³	tsa⁵⁵kʰəŋ⁵⁵	dʐi⁵⁵tsʰɤ³³
braid	辫子	225			*khjaʔL, *phrjaʔL	pan²			n̩²tsʰy¹pʰe²				tsã³¹phi⁵⁵	tsʰa²¹pʰi⁴⁴	tshe⁵⁵pjɤ³¹	tshu⁵⁵phi̠³¹	u³⁵mu³³phe⁵³	v̩²²tsʰɯ⁵⁵piɛ⁵⁵		ka⁵⁵pa³³	u²¹pʰi²¹	n̩²¹tsʰy⁴⁵³pʰɛi²¹	n̩²¹tɕʰy²⁴pʰe²¹	n̩²¹tsʰə³³pʰai³¹	n̩²¹tɕʰy⁵⁵pʰɛ²¹	ɣɨ²¹tɕʰi⁵⁵pʰi²¹	n̩²¹tsʰə⁵⁵pi³³	ɨ²¹tʃʰɨ⁵⁵pʰi²¹	n̩²¹tɕʰy⁵⁵pʰi²¹	ŋ̩²¹tsʰə²⁴pɨ³³tsa²¹	n̩²¹də⁵⁵tsʰə⁵⁵dʒa²¹	u²¹tɕʰy⁵⁵pʰi²¹	u⁵⁵tɕʰy⁴⁴pʰi²¹	u²¹tɕʰy⁵⁵pʰi²¹	n̩²¹tsʰy⁵⁵pʰi²¹	n̩²¹tɕʰy⁵⁵pʰi²¹	n̩²¹tɕʰy⁴⁴pa⁵³	n̩²¹tɕʰy²⁴pʰɛ²¹	m̩²¹tɕʰy²⁴pʰɛ²¹	n̩²¹tɕʰy⁵⁵pʰi²¹	o⁵⁵phi³¹, o⁵⁵tʃhe³¹							ʔɯ⁵⁵tɕʰe³³pʰe⁵⁵tʂɐ²¹	u⁵⁵tsʰe³³za²¹		phie³⁵	phi⁵³	mɔ⁵⁵sui¹³pʰi⁵³	u³³tʂʰɚ̱⁵⁵pʰi³³	o⁵⁵tshi³³tʰi²¹	o³³tʂʰɚ̱⁵⁵	o³³tʂʰɚ̱⁵⁵	u³³tsʰe³³tʰe⁵⁵	o³³pi³³	ŋu³³ʈɤ⁵⁵mo⁵⁵	ko̱²¹pi³³tɬi⁵⁵tʂa̱²¹		kɔ³³tʰɪ⁵⁵	nu³³tʰɪ²¹	ŋu³³tʰɪ²¹	ŋu³³dzo²¹tʰe²¹ne²¹	tʰɯ²¹tʂʰɛ²¹	thɯ̱²¹			o̱³³tɕi̱⁵⁵	o³³tɕɿ⁵⁵①;ndzu²¹tɕɿ⁵⁵②	ʨɿ⁵⁵	o̱³³tɕi̱⁵⁵	o̱³³tɕi̱⁵⁵	o̱²²tɕi̱²⁵	ʈhi²¹	ɬɪ²¹	o⁵⁵ɬɤ²¹tɑ³³	i⁴⁴ʦʰɜ²¹ɬi²²	ɚ²¹tʂʰɯ³³be⁵⁵	ʣɔ³³ɬɛ³³	vɯ³³ʨʰi³¹bi¹³	ɛ⁵⁵ʦʰo³³(-pɪ²¹ʨɛ³³)	i⁵⁵tɬʰa⁵⁵	ji³¹tshɿ³³	tsa³³kʰəŋ³³pi²¹	dʐɪ²¹pʰɛ³³
face	脸	226	*pyu²	91			*mlakD		pʰjaŋ²ʔmje̠H	2	9	*p	ȵa³¹pho⁵⁵	ȵa²¹pʰo⁴⁴	mja̠³³phjo³¹	ma³³fv̩³¹; pɔ³¹pɔ³¹②	mɛ⁵⁴phu³³	pu̠²¹tɛ⁴⁴pɛ⁴⁴	pʰiaʔ²¹mo³³	pʰa²¹bu²¹	pʰa²¹ma̱³³	pʰa²¹mɛi³³	pʰu²¹me⁵⁵	ba²¹wv̩²¹, pʰa²¹mi⁵⁵	pʰø²¹mø³³	pʰy²¹miɛ̠³³	pʰa²¹mei³³tɕʰi⁵⁵	pʰa²¹mi³³	pʰa²¹mi³³	pʰa̠ʔ²¹ni³³	pʰɛ²¹mɛ³³	pʰy²¹my̠³³	pʰiaŋ³³	pʰo̠²¹mɛ̠³³	pʰu̥²¹ʔmɛ̠³³	pʰu̥²¹ʔmæ̠³³	pʰu²¹mɛ⁴⁴	pʰu²¹me⁴⁴	pʰa²¹me⁴⁴	pʰu̥²¹miɛ̠³³	phi³¹miɛ⁴⁴					pʰɛ²¹me̠³³	tɕʰi̠²¹na̠³³	pʰe²¹me³³	pʰo²¹me³³	pʰa³³miɛ⁵³			tʰɔ²¹nɔ⁴⁴	ʈʰɒ⁵⁵ɳa̱²¹	tʰu²¹ȵɪ̱³³	tʰɔ⁵⁵na̱²¹	tʰɔ⁵⁵na̱²¹	tʰo⁵⁵pɤ³³	ʈʰɔ⁵⁵na³³	ʈʰo⁵⁵na³³	tɬo⁵⁵na̱³³	kʰa⁵⁵na⁵⁵	tʰɔ⁵⁵na⁵⁴	tʰa²¹ȵa̱³³	tʰa²¹ȵɪ̱³³	tʰa²¹ȵe̱³³	tʰo²¹na̱³³			ɬᴀ̠²¹ni²¹	kʰa³³ȵo̱³³	khɑ³³ȵɔ³³		kʰɪ̱³³ȵɪ̱³³	kʰa³³ȵo̱³³	kʰa²²ȵo̱²²			ɬo²¹ne⁴⁴	ɬɯ²²tɯ²²	tʰu²¹ne̱⁵¹	nɑ³³ɬɔ̠²³	tɬʰɔ³¹ni⁵⁵	ɬɯ²¹tɯ¹³	tɬʰə³³	tsho³³ȵa⁵³	ma³³pʰu³³	pʰo⁵⁵me̱³³
face	脸	226	*pyu²	91			*mlakD		pʰjaŋ²ʔmje̠H	2	9	*p	ȵa³¹pho⁵⁵	ȵa²¹pʰo⁴⁴	mja̠³³phjo³¹	ma³³fv̩³¹; pɔ³¹pɔ³¹②	mɛ⁵⁴phu³³	pu̠²¹tɛ⁴⁴pɛ⁴⁴	pʰiaʔ²¹mo³³	pʰa²¹bu²¹	pʰa²¹ma̱³³	pʰa²¹mɛi³³	pʰu²¹me⁵⁵	ba²¹wv̩²¹, pʰa²¹mi⁵⁵	pʰø²¹mø³³	pʰy²¹miɛ̠³³	pʰa²¹mei³³tɕʰi⁵⁵	pʰa²¹mi³³	pʰa²¹mi³³	pʰa̠ʔ²¹ni³³	pʰɛ²¹mɛ³³	pʰy²¹my̠³³	pʰiaŋ³³	pʰo̠²¹mɛ̠³³	pʰu̥²¹ʔmɛ̠³³	pʰu̥²¹ʔmæ̠³³	pʰu²¹mɛ⁴⁴	pʰu²¹me⁴⁴	pʰa²¹me⁴⁴	pʰu̥²¹miɛ̠³³	phi³¹miɛ⁴⁴					pʰɛ²¹me̠³³	tɕʰi̠²¹na̠³³	pʰe²¹me³³	pʰo²¹me³³	pʰa³³miɛ⁵³			tʰɔ²¹nɔ⁴⁴	ʈʰɒ⁵⁵ɳa̱²¹	tʰu²¹ȵɪ̱³³	tʰɔ⁵⁵na̱²¹	tʰɔ⁵⁵na̱²¹	tʰo⁵⁵pɤ³³	ʈʰɔ⁵⁵na³³	ʈʰo⁵⁵na³³	tɬo⁵⁵na̱³³		tʰɔ⁵⁵na⁵⁴	tʰa²¹ȵa̱³³	tʰa²¹ȵɪ̱³³	tʰa²¹ȵe̱³³	tʰo²¹na̱³³			ɬᴀ̠²¹ni²¹	kʰa³³ȵo̱³³	khɑ³³ȵɔ³³		kʰɪ̱³³ȵɪ̱³³	kʰa³³ȵo̱³³	kʰa²²ȵo̱²²			ɬo²¹ne⁴⁴	ɬɯ²²tɯ²²	tʰu²¹ne̱⁵¹	nɑ³³ɬɔ̠²³	tɬʰɔ³¹ni⁵⁵	ɬɯ²¹tɯ¹³	tɬʰə³³	tsho³³ȵa⁵³	ma³³pʰu³³	pʰo⁵⁵me̱³³
