ID	NameA	NameB
HaniLongwei	Hani-Longwei	Hani-Longwei
HaniQiepu	Hani-Qiepu	Hani-Qiepu
HaniLuchun 	Hani-Luchun 	Hani- Lvchun 
Haoni	Haoni	Haoni
Lahu Na	Lahu Na	?
Ghomozo	Ghomozo	Ghomozo
Kuansi 	Kuansi 	Kuansi 
Lavu	Lavu	Lavu
Talu	Talu	?
Xuzhang	Xuzhang	Xuzhang
W-Shanglizhuo	W-Shanglizhuo	W-Shanglizhuo
Yangliu	Yangliu	Yangliu
C-Leba	C-Leba	C-Leba
CE-Yong'an	CE-Yong'an	CE-Yong'an
E-Diaocao	E-Diaocao	E-Diaocao
E-Houshan	E-Houshan	E-Houshan
E-Taoshu	E-Taoshu	E-Taoshu
Eka	Eka	Eka
S-Mangdi	S-Mangdi	S-Mangdi
C-Qingsheng	C-Qingsheng	C-Qingsheng
SE- Gaoping	SE- Gaoping	SE-Gaoping
C-Chajiang	C-Chajiang	C-Chajiang
C-Qingyun	C-Qingyun	C-Qingyun
C-Longjie	C-Longjie	C-Longjie
W- Yilu	W- Yilu	W-Yilu
W-Shuizhuping	W-Shuizhuping	W-Shuizhuping
W-Dutian	W-Dutian	W-Dutian
C-Wachang	C-Wachang	C-Wachang
Lisu	Lisu	Lisu
Luquan Lisu	Luquan Lisu	?
Tengchong Lisu	Tengchong Lisu	?
Weixi Lisu	Weixi Lisu	?
Yongsheng Lisu	Yongsheng Lisu	?
C-Lolo	C-Lolo	C Lolo
E-Lolo	E-Lolo	E Lolo
Jinggu Limi	Jinggu Limi	Jinggu Limi
Limi	Limi	Limi
Lipo	Lipo	Lipo
Maang	Maang	Maang
Mondzi	Mondzi	Mondzi
Mongi	Mongi	?
Alo	Alo	Alo
Kopo (Gepo)	Kopo (Gepo)	Kopo (Gepo)
Naso	Naso	Naso
Nasu	Nasu	Nasu
Luowu Nisu	Luowu Nisu	Luowu Nisu
Nipu	Nipu	Nipu
Nersu	Nersu	Nersu
Nise	Nise	Nise
Laowu Nisu	Laowu Nisu	Laowu Nisu
Noso	Noso	Noso
Narsu	Narsu	Narsu (NW Nisu)
Neshu	Neshu	?
Nesu	Nesu	?
Lope (Awu) (Chen 2010)	Lope (Awu) (Chen 2010)	Lope (Awu)
Lope (Awu) (YYFC 1983)	Lope (Awu) (YYFC 1983)	Lope (Awu)2
NNisu	N. Nisu	N Nisu
SNisu	S. Nisu	S Nisu
Lidim	Lidim	Lidim (Tianba)
Nuosu (Huang & Dai 1992)	Nuosu (Huang & Dai 1992)	?
Nosu (Xide)	Nosu (Xide)	Nosu (Senza)
Sodi	Sodi	Sodi
Senza	Senza	?
Yino	Yino	Yino
Axi	Axi	Axi
Azhe	Azhe	Azhe
Sani	Sani	Sani
Azha [aza] Pelkey 2011	Azha [aza] Pelkey 2011	Azha
Sanni (Sanie)	Sanni (Sanie)	Sanni (Sanie)
Phola [ypg]	Phola [ypg]	Up: Phola
Phuza [ypz]	Phuza [ypz]	Phuza
Southern Muji [ymc]	Southern Muji [ymc]	S. Muji
Hlepho Phowa [yhl]	Hlepho Phowa [yhl]	Hlepho
Kazhuo	Kazhuo	?
Lawu-Xinping Shuitang Jiuha	Lawu-Xinping Shuitang Jiuha	Lawu
Toloza	Toloza	Toloza
